 --- primitive lattice vectors ---
     hbarW=  0.86643939E-04 Ha =  0.23577017E-02 eV; nu=  0.19016149E+02 cm^-1
    25   0.1516728014  0.0213518631 -0.0052113055
    26  -0.0219717208  0.0319071632 -0.0421978499
    27   0.1335503919  0.0010350550 -0.2426585431
    28   0.1342643053  0.0579284562 -0.2678567421
    29   0.1244571782 -0.0010616879  0.1748119806
    30   0.1243344615  0.0569242601  0.2098678126
    31   0.1346192807  0.0273781120 -0.0452812143
    32   0.1855875477  0.0318213407  0.0044855442
    33  -0.5216968961 -0.0110311188 -0.0102260456
    34  -0.5033822265 -0.0112721429 -0.0000356362
    35  -0.1611513778  0.0016132299 -0.0631429397
    36  -0.1513929041 -0.0013657374 -0.0571135932
    37  -0.1621406545 -0.0085560418  0.0533493245
    38  -0.1525301490 -0.0058344816  0.0601937455
 n=     8 A   IR&R
     hbarW=  0.15066904E-03 Ha =  0.40999135E-02 eV; nu=  0.33068036E+02 cm^-1
    25   0.0196517164  0.0162745552 -0.6463973464
    26   0.0089999552 -0.0522042963  0.3717040130
    27  -0.0675639283 -0.0321676160 -0.0939051696
    28  -0.0740100903 -0.0149509673  0.3319688847
    29   0.1025790449 -0.0106047702  0.3133609561
    30   0.0996567959 -0.0338815813 -0.0605138466
    31   0.0133213855  0.0011619438  0.2577729374
    32   0.0153297065 -0.0188387411 -0.2957155541
    33  -0.0304846295  0.0601074410 -0.0714578722
    34  -0.0364726454  0.0574307918 -0.1107729810
    35  -0.0088997244  0.0173112858 -0.0183025827
    36  -0.0120945397  0.0163697060 -0.0428707920
    37  -0.0083530962  0.0193996259 -0.0130211422
    38  -0.0113668942  0.0191669920 -0.0369661540
 n=     9 A   IR&R
     hbarW=  0.15459255E-03 Ha =  0.42066775E-02 eV; nu=  0.33929146E+02 cm^-1
    25  -0.0064240732 -0.0373758457 -0.3174835915
    26  -0.0042034997  0.0982222510  0.1927871454
    27  -0.0515201032  0.0274724130  0.4756661974
    28  -0.0391065368  0.0490811972 -0.4130980861
    29   0.0279084997  0.0486185926 -0.3668230503
    30   0.0384861005  0.0265199159  0.4879696575
    31  -0.0078601481 -0.0122561531  0.1179709705
    32  -0.0062971571  0.0262055958 -0.1025372170
    33   0.0201938171 -0.1202661558 -0.0689729130
    34   0.0216636381 -0.1214809692  0.0089663746
    35   0.0057168619 -0.0366343566 -0.0323897911
    36   0.0065605623 -0.0367224970  0.0163470818
    37   0.0062682656 -0.0372020484 -0.0348890328
    38   0.0067338898 -0.0377300701  0.0134000214
 n=    10 A   IR&R
     hbarW=  0.17612677E-03 Ha =  0.47926536E-02 eV; nu=  0.38655362E+02 cm^-1
    25  -0.0473527324 -0.0153427543 -0.0083498730
    26  -0.0015720555 -0.0044309168 -0.0286281296
    27   0.0357876096 -0.0340165555  0.4616347822
    28   0.0401699117  0.0197445955  0.4449700079
    29   0.0350788701 -0.0354061518 -0.4618147287
    30   0.0393755755  0.0271802448 -0.3870070141
    31   0.1312686168 -0.0069087855 -0.0325006171
    32   0.0721771874 -0.0033784448 -0.0153590692
    33  -0.2846113754 -0.0166480141 -0.0113160201
    34  -0.2809317429 -0.0164763040 -0.0055163875
    35  -0.0852399023 -0.0027526019 -0.0115604480
    36  -0.0832353903 -0.0056456339 -0.0079667463
    37  -0.0853515968 -0.0071337406  0.0036514047
    38  -0.0834170175 -0.0043413499  0.0078344958
 n=    11 A   IR&R
     hbarW=  0.19268103E-03 Ha =  0.52431180E-02 eV; nu=  0.42288603E+02 cm^-1
    25   0.0022187749 -0.0027186547  0.3539529902
    26  -0.0021205730  0.0027752622 -0.1937989985
    27  -0.0329538806  0.0793190271 -0.0695167931
    28  -0.0346463338 -0.0807440155 -0.0908620125
    29   0.0394175904 -0.0826925174 -0.1028702946
    30   0.0379474610  0.0821880354 -0.0697812278
    31   0.0047224688 -0.0027191464  0.7589181224
    32   0.0054460332 -0.0022814177 -0.4119739958
    33  -0.0140178925  0.0027109886 -0.1118247546
    34  -0.0141975091 -0.0037502361 -0.1122535332
    35  -0.0043132159  0.0000125917 -0.0378687026
    36  -0.0044036798 -0.0003600508 -0.0380631524
    37  -0.0039551256 -0.0000342735 -0.0366514073
    38  -0.0040535292 -0.0001651789 -0.0366747145
 n=    12 A   IR&R
     hbarW=  0.21568018E-03 Ha =  0.58689566E-02 eV; nu=  0.47336332E+02 cm^-1
    25   0.0009033289  0.0003125104  0.0206332352
    26   0.0045603796 -0.0006342263  0.5878581374
    27   0.0112723742 -0.0537637110 -0.2658744857
    28   0.0191027338  0.0670683181 -0.3348901249
    29  -0.0041413682  0.0654860154 -0.2698256036
    30  -0.0127815117 -0.0604131957 -0.4370084086
    31   0.0067995126  0.0071939644  0.2405251432
    32   0.0038318485  0.0096796586  0.3237410115
    33  -0.0200522942 -0.0219913610  0.1054856066
    34  -0.0042350991 -0.0243744707  0.1122776132
    35  -0.0079480115 -0.0036863133  0.0232323598
    36   0.0003971989 -0.0041056714  0.0285607567
    37  -0.0075939602 -0.0098597366  0.0262634233
    38   0.0007341420 -0.0102255121  0.0292502877
 n=    13 A   IR&R
     hbarW=  0.22498606E-03 Ha =  0.61221825E-02 eV; nu=  0.49378738E+02 cm^-1
    25   0.0016808571  0.0128557471 -0.0152083457
    26   0.0023159423 -0.0135898444 -0.0646429994
    27  -0.0223794384  0.0259953963  0.5414281798
    28   0.0249563804  0.0065119748 -0.4444174452
    29   0.0274201802 -0.0513757906  0.5074360990
    30  -0.0207137812 -0.0324035687 -0.4464804306
    31   0.0040160704 -0.0162076935 -0.0159051352
    32   0.0009334326 -0.0263936530 -0.0393856225
    33  -0.0810723576  0.0904761890 -0.0007029097
