 --- primitive lattice vectors ---
    31   0.0000739292  0.0000003653  0.0034938178
    32   0.0011188103 -0.0027340309 -0.0489301436
    33   0.0013925892 -0.0754791861 -0.1568873266
    34   0.0025548095  0.0898405401 -0.2445398415
    35   0.0049622572  0.0592709412  0.4229211733
    36   0.0058398097 -0.0751204260  0.5159859430
    37  -0.0134431163  0.0548014119  0.4156142900
    38  -0.0176011148 -0.0712432187  0.5133708337
 n=    33 A   IR&R
     hbarW=  0.38110581E-02 Ha =  0.10370417E+00 eV; nu=  0.83643066E+03 cm^-1
    25  -0.0000065796 -0.0003646244  0.0000287433
    26   0.0000154646  0.0008778511 -0.0004389252
    27  -0.0017736269  0.0009259140 -0.0030415527
    28   0.0026699075  0.0016132353  0.0044278982
    29  -0.0026157046  0.0016123152  0.0042969709
    30   0.0018392041  0.0010190633 -0.0031184596
    31  -0.0000004163 -0.0004253161 -0.0003846867
    32  -0.0002046846 -0.0235141129  0.0054872948
    33  -0.0042942175  0.0729378639  0.3893835482
    34   0.0058116292  0.0541774072 -0.3429067255
    35  -0.0077467759 -0.0769997620 -0.4580487809
    36   0.0040753002 -0.0647515116  0.3492908804
    37   0.0169882385 -0.0778956539 -0.4807554182
    38  -0.0156042359 -0.0596260517  0.3721920821
 n=    34 A   IR&R
     hbarW=  0.40154060E-02 Ha =  0.10926476E+00 eV; nu=  0.88127986E+03 cm^-1
    25   0.0000096076  0.0000251498 -0.0000189812
    26   0.0000015238 -0.0000378020 -0.0000213537
    27   0.0042063746 -0.0033651661  0.0057177603
    28  -0.0042882570 -0.0034646218 -0.0058647649
    29  -0.0041261720  0.0031993423  0.0053026225
    30   0.0041675603  0.0032611153 -0.0053153672
    31   0.0000010976  0.0000490183 -0.0000152513
    32   0.0001115378  0.0004339211 -0.0000227263
    33  -0.0970525436 -0.0008531747 -0.0084511861
    34   0.0958338977 -0.0015837983  0.0087674575
    35   0.0600851022 -0.0442672878  0.5022401048
    36  -0.0595088352 -0.0432999278 -0.4971004069
    37   0.0684488148  0.0477570695 -0.4801607938
    38  -0.0672148075  0.0466470109  0.4758704915
 n=    35 A   IR&R
     hbarW=  0.52663143E-02 Ha =  0.14330371E+00 eV; nu=  0.11558225E+04 cm^-1
    25   0.0000019083 -0.0000011093  0.0000195435
    26  -0.0000024688  0.0000067803 -0.0000180083
    27   0.0004181383 -0.0001146828  0.0018712607
    28  -0.0004189840 -0.0001390858 -0.0018826699
    29  -0.0003862019  0.0000961490  0.0017477592
    30   0.0003747638  0.0001081645 -0.0017270141
    31  -0.0000019111  0.0000089273 -0.0000035865
    32   0.0000043259  0.0000097808  0.0000914997
    33   0.4175043843 -0.0006930941  0.0041751007
    34  -0.4169013108 -0.0006215002 -0.0039710714
    35  -0.1067850976  0.3825760479  0.0894312462
    36   0.1073352368  0.3776099370 -0.0895845952
    37  -0.1056962412 -0.3777448091 -0.0915622878
    38   0.1027515759 -0.3781129283  0.0903372366
 n=    36 A   IR&R
     hbarW=  0.56248300E-02 Ha =  0.15305942E+00 eV; nu=  0.12345076E+04 cm^-1
    25   0.0000182325 -0.0000164909 -0.0002514860
    26   0.0000279746 -0.0000180752 -0.0019337346
    27   0.0010349610 -0.0003672074  0.0010036586
    28   0.0010189778  0.0003453474  0.0009526174
    29  -0.0009816111  0.0002873635  0.0008927745
    30  -0.0009926231 -0.0002639908  0.0009259031
    31  -0.0000096216 -0.0000321426 -0.0009194810
    32  -0.0002397073 -0.0000323697  0.0194665141
    33   0.0004351984  0.4495252702 -0.0180996699
    34  -0.0001270372 -0.4469698002 -0.0180595989
    35  -0.1201262560  0.3632000007 -0.0130639206
    36  -0.1254373832 -0.3679859018 -0.0126009887
    37   0.1237116481  0.3652853604 -0.0104560023
    38   0.1234747299 -0.3674878633 -0.0116869669
 n=    37 A   IR&R
     hbarW=  0.62338215E-02 Ha =  0.16963092E+00 eV; nu=  0.13681658E+04 cm^-1
    25   0.0000020987 -0.0006880568 -0.0000035390
    26   0.0000013880 -0.0005710989  0.0000065528
    27   0.0008341774 -0.0001714096  0.0007949911
    28  -0.0008589994 -0.0001838147 -0.0008134840
    29   0.0008568178 -0.0001616325 -0.0007570411
    30  -0.0008183848 -0.0001350712  0.0007163721
    31  -0.0000026079  0.0003324382  0.0000032926
    32   0.0000041757  0.0015616263 -0.0001375693
    33   0.0017310090  0.2190936448 -0.0239715869
    34  -0.0003529991  0.2278916670  0.0247668928
    35   0.2655556400 -0.3856169637  0.0664153908
    36  -0.2692184940 -0.3829820305 -0.0667092342
    37  -0.2704073441 -0.3864319305  0.0612288104
    38   0.2689481104 -0.3863818451 -0.0616892291
 n=    38 A   IR&R
     hbarW=  0.67400167E-02 Ha =  0.18340520E+00 eV; nu=  0.14792628E+04 cm^-1
    25   0.0000046222  0.0000046889 -0.0003683831
    26   0.0000221619 -0.0000029184 -0.0000137672
    27   0.0001345931 -0.0005861495  0.0001470222
    28   0.0001458811  0.0005867796  0.0001475741
    29  -0.0001290034  0.0005497655  0.0001356959
    30  -0.0001316948 -0.0005414200  0.0001479626
    31  -0.0000138293 -0.0000167363 -0.0003384168
    32  -0.0001570924 -0.0000149350  0.0086457730
    33   0.0021254713  0.5135623969 -0.0465654147
    34  -0.0008932031 -0.5116090198 -0.0467747321
    35   0.2458384545 -0.2324485536  0.0648323951
    36   0.2448199613  0.2275266178  0.0642215547
    37  -0.2490603756 -0.2315852148  0.0598855534
    38  -0.2451454558  0.2295181208  0.0595504637
 n=    39 A   IR&R
     hbarW=  0.13392031E-01 Ha =  0.36441573E+00 eV; nu=  0.29392114E+04 cm^-1
    25   0.0000020580 -0.0002732357 -0.0000210401
    26  -0.0000011844  0.0000479602  0.0000129233
    27  -0.0000391324  0.0001241413 -0.0003391959
    28   0.0000219694  0.0001240585  0.0004145595
    29  -0.0000173300  0.0001229090  0.0003604490
    30   0.0000339452  0.0001189433 -0.0002877463
    31  -0.0000011018  0.0000020915  0.0000188712
    32   0.0000154129  0.0000732215 -0.0001547795
    33  -0.0065531821 -0.1691919211  0.0331718330
    34   0.0041775943 -0.1087814890 -0.0223592927
    35   0.5011422771  0.2876077675 -0.0559949956
    36  -0.3470262342  0.2017309201  0.0381684858
    37  -0.4781517886  0.2784557574 -0.0617623773
    38   0.3321877524  0.1902070038  0.0423545938
 n=    40 A   IR&R
     hbarW=  0.13414039E-01 Ha =  0.36501461E+00 eV; nu=  0.29440417E+04 cm^-1
    25   0.0000063547  0.0000492934 -0.0001153149
    26  -0.0000031941 -0.0000093396  0.0000572853
    27  -0.0000426649 -0.0000171697  0.0002935833
    28  -0.0000483889 -0.0000345901  0.0001401377
    29   0.0000569904 -0.0000342696  0.0001199911
    30   0.0000567050 -0.0000148923  0.0002389246
    31   0.0000008599 -0.0000108938  0.0000899543
    32   0.0000489464 -0.0000119558 -0.0008656897
    33  -0.0032159430 -0.1397196179  0.0245076952
    34  -0.0049001913  0.1905182341  0.0346793292
    35   0.3399600272  0.1960267724 -0.0392914009
    36   0.4947945563 -0.2891764902 -0.0564304788
    37  -0.3292485095  0.1930009631 -0.0439329774
    38  -0.4774237275 -0.2751300902 -0.0628995867
 n=    41 A   IR&R
     hbarW=  0.13722644E-01 Ha =  0.37341216E+00 eV; nu=  0.30117725E+04 cm^-1
    25  -0.0000045545  0.0000011003 -0.0000001690
    26   0.0000050544 -0.0000025100  0.0000009651
    27   0.0000402528  0.0000120931  0.0003950708
    28  -0.0000493953  0.0000068661 -0.0004213258
    29  -0.0000379716 -0.0000132427  0.0003900636
    30   0.0000333339 -0.0000122118 -0.0003703829
    31   0.0000001194  0.0000035057 -0.0000010794
    32  -0.0000099075 -0.0000143649 -0.0000005204
    33   0.2361561867 -0.0038514363  0.0027160428
    34  -0.2174841101 -0.0027941624 -0.0027198414
    35  -0.4074707258 -0.2517767747  0.0489405098
    36   0.3728744707 -0.2335722267 -0.0449170753
    37  -0.4230994763  0.2651603545 -0.0581180271
    38   0.3933832121  0.2430559034  0.0541982707
 n=    42 A   IR&R
     hbarW=  0.13847589E-01 Ha =  0.37681210E+00 eV; nu=  0.30391949E+04 cm^-1
    25   0.0001114506  0.0000002705 -0.0000018064
    26  -0.0001316102  0.0000008843 -0.0000015412
    27   0.0001090962 -0.0000354986  0.0003595311
    28   0.0001059587  0.0000396294  0.0003271645
    29   0.0000912660 -0.0000282898 -0.0002924030
    30   0.0000949698  0.0000304813 -0.0003313440
    31  -0.0000092089  0.0000004247 -0.0000054792
    32   0.0001381869 -0.0000001929  0.0000062798
    33  -0.2220085348  0.0035809967 -0.0024563526
    34  -0.2403534064 -0.0024197067 -0.0027796077
    35   0.3766399946  0.2332997309 -0.0433812527
    36   0.4066371397 -0.2552983203 -0.0469795678
    37   0.3875220180 -0.2436653958  0.0515387840
    38   0.4220887694  0.2616731911  0.0562925745
